query,ticker,intent,intent_confidence,expected_metric,intended_metric,expected_route,intended_route,intended_route_impressions,wrong_route_impressions,total_metric_route_impressions,total_relevant_metric_impressions,intended_ownership_rate,competing_route_count,dominant_route,dominant_route_impressions,dominant_route_correct,dominant_route_is_correct,intended_route_position,wrong_route_position,evidence_strength,ownership_band,base_stock_page_competing,meaningful_wrong_route_volume,clicks,ctr,position,material_cannibalization,recommended_action,change_category,ranking_opportunity,severity,route_breakdown
comcast revenue 2024,CMCSA,REVENUE,high,revenue,REVENUE,/stocks/CMCSA/revenue,/stocks/CMCSA/revenue,1.0,0.0,1.0,1.0,1.0,0,/stocks/CMCSA/revenue,1.0,yes,yes,58.0,0,INSUFFICIENT_DATA,INSUFFICIENT_DATA,no,no,0.0,0.0,58.0,no,NO_ACTION,NONE,long-tail,none,/stocks/CMCSA/revenue=1
google net profit 2025,GOOG,NET_INCOME,high,net-income,NET_INCOME,/stocks/GOOG/net-income,/stocks/GOOG/net-income,1.0,0.0,1.0,1.0,1.0,0,/stocks/GOOG/net-income,1.0,yes,yes,58.0,0,INSUFFICIENT_DATA,INSUFFICIENT_DATA,no,no,0.0,0.0,58.0,no,NO_ACTION,NONE,long-tail,none,/stocks/GOOG/net-income=1
stwd next dividend date,STWD,DIVIDEND,high,dividend-history,DIVIDEND,/stocks/STWD/dividend-history,/stocks/STWD/dividend-history,1.0,0.0,1.0,1.0,1.0,0,/stocks/STWD/dividend-history,1.0,yes,yes,58.0,0,INSUFFICIENT_DATA,INSUFFICIENT_DATA,no,no,0.0,0.0,58.0,no,NO_ACTION,NONE,long-tail,none,/stocks/STWD/dividend-history=1
marathon petroleum stock dividend,MPC,DIVIDEND,high,dividend-history,DIVIDEND,/stocks/MPC/dividend-history,/stocks/MPC/dividend-history,1.0,0.0,1.0,1.0,1.0,0,/stocks/MPC/dividend-history,1.0,yes,yes,59.0,0,INSUFFICIENT_DATA,INSUFFICIENT_DATA,no,no,0.0,0.0,59.0,no,NO_ACTION,NONE,long-tail,none,/stocks/MPC/dividend-history=1
warner bros revenue,WBD,REVENUE,high,revenue,REVENUE,/stocks/WBD/revenue,/stocks/WBD/revenue,1.0,0.0,1.0,1.0,1.0,0,/stocks/WBD/revenue,1.0,yes,yes,59.0,0,INSUFFICIENT_DATA,INSUFFICIENT_DATA,no,no,0.0,0.0,59.0,no,NO_ACTION,NONE,long-tail,none,/stocks/WBD/revenue=1
waste management dividend,WM,DIVIDEND,high,dividend-history,DIVIDEND,/stocks/WM/dividend-history,/stocks/WM/dividend-history,2.0,0.0,2.0,2.0,1.0,0,/stocks/WM/dividend-history,2.0,yes,yes,59.5,0,INSUFFICIENT_DATA,INSUFFICIENT_DATA,no,no,0.0,0.0,59.5,no,NO_ACTION,NONE,long-tail,none,/stocks/WM/dividend-history=2
kkr ex dividend date,KKR,DIVIDEND,high,dividend-history,DIVIDEND,/stocks/KKR/dividend-history,/stocks/KKR/dividend-history,1.0,0.0,1.0,1.0,1.0,0,/stocks/KKR/dividend-history,1.0,yes,yes,60.0,0,INSUFFICIENT_DATA,INSUFFICIENT_DATA,no,no,0.0,0.0,60.0,no,NO_ACTION,NONE,long-tail,none,/stocks/KKR/dividend-history=1
netflix annual revenue,NFLX,REVENUE,high,revenue,REVENUE,/stocks/NFLX/revenue,/stocks/NFLX/revenue,1.0,0.0,1.0,1.0,1.0,0,/stocks/NFLX/revenue,1.0,yes,yes,60.0,0,INSUFFICIENT_DATA,INSUFFICIENT_DATA,no,no,0.0,0.0,60.0,no,NO_ACTION,NONE,long-tail,none,/stocks/NFLX/revenue=1
google outstanding shares,GOOGL,SHARES_OUTSTANDING,high,shares-outstanding,SHARES_OUTSTANDING,/stocks/GOOGL/shares-outstanding,/stocks/GOOGL/shares-outstanding,1.0,0.0,1.0,1.0,1.0,0,/stocks/GOOGL/shares-outstanding,1.0,yes,yes,61.0,0,INSUFFICIENT_DATA,INSUFFICIENT_DATA,no,no,0.0,0.0,61.0,no,NO_ACTION,NONE,long-tail,none,/stocks/GOOGL/shares-outstanding=1
wells fargo dividend history,WFC,DIVIDEND,high,dividend-history,DIVIDEND,/stocks/WFC/dividend-history,/stocks/WFC/dividend-history,3.0,0.0,3.0,3.0,1.0,0,/stocks/WFC/dividend-history,3.0,yes,yes,61.666666666666664,0,INSUFFICIENT_DATA,INSUFFICIENT_DATA,no,no,0.0,0.0,61.666666666666664,no,NO_ACTION,NONE,long-tail,none,/stocks/WFC/dividend-history=3
coca-cola revenue,KO,REVENUE,high,revenue,REVENUE,/stocks/KO/revenue,/stocks/KO/revenue,1.0,0.0,1.0,1.0,1.0,0,/stocks/KO/revenue,1.0,yes,yes,62.0,0,INSUFFICIENT_DATA,INSUFFICIENT_DATA,no,no,0.0,0.0,62.0,no,NO_ACTION,NONE,long-tail,none,/stocks/KO/revenue=1
disney revenue,DIS,REVENUE,high,revenue,REVENUE,/stocks/DIS/revenue,/stocks/DIS/revenue,2.0,0.0,2.0,2.0,1.0,0,/stocks/DIS/revenue,2.0,yes,yes,62.0,0,INSUFFICIENT_DATA,INSUFFICIENT_DATA,no,no,0.0,0.0,62.0,no,NO_ACTION,NONE,long-tail,none,/stocks/DIS/revenue=2
kkr dividend date,KKR,DIVIDEND,high,dividend-history,DIVIDEND,/stocks/KKR/dividend-history,/stocks/KKR/dividend-history,1.0,0.0,1.0,1.0,1.0,0,/stocks/KKR/dividend-history,1.0,yes,yes,62.0,0,INSUFFICIENT_DATA,INSUFFICIENT_DATA,no,no,0.0,0.0,62.0,no,NO_ACTION,NONE,long-tail,none,/stocks/KKR/dividend-history=1
hban ex dividend date,HBAN,DIVIDEND,high,dividend-history,DIVIDEND,/stocks/HBAN/dividend-history,/stocks/HBAN/dividend-history,2.0,0.0,2.0,2.0,1.0,0,/stocks/HBAN/dividend-history,2.0,yes,yes,62.5,0,INSUFFICIENT_DATA,INSUFFICIENT_DATA,no,no,0.0,0.0,62.5,no,NO_ACTION,NONE,long-tail,none,/stocks/HBAN/dividend-history=2
hban dividend date,HBAN,DIVIDEND,high,dividend-history,DIVIDEND,/stocks/HBAN/dividend-history,/stocks/HBAN/dividend-history,1.0,0.0,1.0,1.0,1.0,0,/stocks/HBAN/dividend-history,1.0,yes,yes,63.0,0,INSUFFICIENT_DATA,INSUFFICIENT_DATA,no,no,0.0,0.0,63.0,no,NO_ACTION,NONE,long-tail,none,/stocks/HBAN/dividend-history=1
wells fargo dividend,WFC,DIVIDEND,high,dividend-history,DIVIDEND,/stocks/WFC/dividend-history,/stocks/WFC/dividend-history,6.0,0.0,6.0,6.0,1.0,0,/stocks/WFC/dividend-history,6.0,yes,yes,63.333333333333336,0,INSUFFICIENT_DATA,INSUFFICIENT_DATA,no,no,0.0,0.0,63.333333333333336,no,NO_ACTION,NONE,long-tail,none,/stocks/WFC/dividend-history=6
netflix yearly revenue,NFLX,REVENUE,high,revenue,REVENUE,/stocks/NFLX/revenue,/stocks/NFLX/revenue,2.0,0.0,2.0,2.0,1.0,0,/stocks/NFLX/revenue,2.0,yes,yes,63.5,0,INSUFFICIENT_DATA,INSUFFICIENT_DATA,no,no,0.0,0.0,63.5,no,NO_ACTION,NONE,long-tail,none,/stocks/NFLX/revenue=2
alphabet net income 2024,*,NET_INCOME,high,net-income,NET_INCOME,*/net-income,*/net-income,3.0,0.0,3.0,3.0,1.0,1,/stocks/GOOGL/net-income,2.0,yes,yes,64.0,0,INSUFFICIENT_DATA,INSUFFICIENT_DATA,no,no,0.0,0.0,64.0,no,NO_ACTION,NONE,long-tail,none,/stocks/GOOGL/net-income=2; /stocks/GOOG/net-income=1
google net profit,GOOGL,NET_INCOME,high,net-income,NET_INCOME,/stocks/GOOGL/net-income,/stocks/GOOGL/net-income,1.0,0.0,1.0,1.0,1.0,0,/stocks/GOOGL/net-income,1.0,yes,yes,64.0,0,INSUFFICIENT_DATA,INSUFFICIENT_DATA,no,no,0.0,0.0,64.0,no,NO_ACTION,NONE,long-tail,none,/stocks/GOOGL/net-income=1
palantir dividend,PLTR,DIVIDEND,high,dividend-history,DIVIDEND,/stocks/PLTR/dividend-history,/stocks/PLTR/dividend-history,1.0,0.0,1.0,1.0,1.0,0,/stocks/PLTR/dividend-history,1.0,yes,yes,64.0,0,INSUFFICIENT_DATA,INSUFFICIENT_DATA,no,no,0.0,0.0,64.0,no,NO_ACTION,NONE,long-tail,none,/stocks/PLTR/dividend-history=1
hban dividend,HBAN,DIVIDEND,high,dividend-history,DIVIDEND,/stocks/HBAN/dividend-history,/stocks/HBAN/dividend-history,1.0,0.0,1.0,1.0,1.0,0,/stocks/HBAN/dividend-history,1.0,yes,yes,65.0,0,INSUFFICIENT_DATA,INSUFFICIENT_DATA,no,no,0.0,0.0,65.0,no,NO_ACTION,NONE,long-tail,none,/stocks/HBAN/dividend-history=1
mrk dividend,MRK,DIVIDEND,high,dividend-history,DIVIDEND,/stocks/MRK/dividend-history,/stocks/MRK/dividend-history,1.0,0.0,1.0,1.0,1.0,0,/stocks/MRK/dividend-history,1.0,yes,yes,65.0,0,INSUFFICIENT_DATA,INSUFFICIENT_DATA,no,no,0.0,0.0,65.0,no,NO_ACTION,NONE,long-tail,none,/stocks/MRK/dividend-history=1
apple shares outstanding 2011,AAPL,SHARES_OUTSTANDING,high,shares-outstanding,SHARES_OUTSTANDING,/stocks/AAPL/shares-outstanding,/stocks/AAPL/shares-outstanding,1.0,0.0,1.0,1.0,1.0,0,/stocks/AAPL/shares-outstanding,1.0,yes,yes,66.0,0,INSUFFICIENT_DATA,INSUFFICIENT_DATA,no,no,0.0,0.0,66.0,no,NO_ACTION,NONE,long-tail,none,/stocks/AAPL/shares-outstanding=1
wm stock dividend,WM,DIVIDEND,high,dividend-history,DIVIDEND,/stocks/WM/dividend-history,/stocks/WM/dividend-history,2.0,0.0,2.0,2.0,1.0,0,/stocks/WM/dividend-history,2.0,yes,yes,66.0,0,INSUFFICIENT_DATA,INSUFFICIENT_DATA,no,no,0.0,0.0,66.0,no,NO_ACTION,NONE,long-tail,none,/stocks/WM/dividend-history=2
wfc dividend history,WFC,DIVIDEND,high,dividend-history,DIVIDEND,/stocks/WFC/dividend-history,/stocks/WFC/dividend-history,4.0,0.0,4.0,4.0,1.0,0,/stocks/WFC/dividend-history,4.0,yes,yes,66.75,0,INSUFFICIENT_DATA,INSUFFICIENT_DATA,no,no,0.0,0.0,66.75,no,NO_ACTION,NONE,long-tail,none,/stocks/WFC/dividend-history=4
carvana shares outstanding 2025,CVNA,SHARES_OUTSTANDING,high,shares-outstanding,SHARES_OUTSTANDING,/stocks/CVNA/shares-outstanding,/stocks/CVNA/shares-outstanding,1.0,0.0,1.0,1.0,1.0,0,/stocks/CVNA/shares-outstanding,1.0,yes,yes,67.0,0,INSUFFICIENT_DATA,INSUFFICIENT_DATA,no,no,0.0,0.0,67.0,no,NO_ACTION,NONE,long-tail,none,/stocks/CVNA/shares-outstanding=1
fortive 2023 annual report revenue,FTV,REVENUE,high,revenue,REVENUE,/stocks/FTV/revenue,/stocks/FTV/revenue,1.0,0.0,1.0,1.0,1.0,0,/stocks/FTV/revenue,1.0,yes,yes,67.0,0,INSUFFICIENT_DATA,INSUFFICIENT_DATA,no,no,0.0,0.0,67.0,no,NO_ACTION,NONE,long-tail,none,/stocks/FTV/revenue=1
fortive full year 2023 revenue,FTV,REVENUE,high,revenue,REVENUE,/stocks/FTV/revenue,/stocks/FTV/revenue,1.0,0.0,1.0,1.0,1.0,0,/stocks/FTV/revenue,1.0,yes,yes,67.0,0,INSUFFICIENT_DATA,INSUFFICIENT_DATA,no,no,0.0,0.0,67.0,no,NO_ACTION,NONE,long-tail,none,/stocks/FTV/revenue=1
eps history,IP,EPS,high,eps,EPS,/stocks/IP/eps,/stocks/IP/eps,1.0,0.0,1.0,1.0,1.0,0,/stocks/IP/eps,1.0,yes,yes,68.0,0,INSUFFICIENT_DATA,INSUFFICIENT_DATA,no,no,0.0,0.0,68.0,no,NO_ACTION,NONE,long-tail,none,/stocks/IP/eps=1
fortive revenue 2023,FTV,REVENUE,high,revenue,REVENUE,/stocks/FTV/revenue,/stocks/FTV/revenue,2.0,0.0,2.0,2.0,1.0,0,/stocks/FTV/revenue,2.0,yes,yes,68.0,0,INSUFFICIENT_DATA,INSUFFICIENT_DATA,no,no,0.0,0.0,68.0,no,NO_ACTION,NONE,long-tail,none,/stocks/FTV/revenue=2
merck dividends,MRK,DIVIDEND,high,dividend-history,DIVIDEND,/stocks/MRK/dividend-history,/stocks/MRK/dividend-history,1.0,0.0,1.0,1.0,1.0,0,/stocks/MRK/dividend-history,1.0,yes,yes,68.0,0,INSUFFICIENT_DATA,INSUFFICIENT_DATA,no,no,0.0,0.0,68.0,no,NO_ACTION,NONE,long-tail,none,/stocks/MRK/dividend-history=1
wells fargo ex dividend,WFC,DIVIDEND,high,dividend-history,DIVIDEND,/stocks/WFC/dividend-history,/stocks/WFC/dividend-history,2.0,0.0,2.0,2.0,1.0,0,/stocks/WFC/dividend-history,2.0,yes,yes,68.0,0,INSUFFICIENT_DATA,INSUFFICIENT_DATA,no,no,0.0,0.0,68.0,no,NO_ACTION,NONE,long-tail,none,/stocks/WFC/dividend-history=2
hss revenue,JBSS,REVENUE,high,revenue,REVENUE,/stocks/JBSS/revenue,/stocks/JBSS/revenue,1.0,0.0,1.0,1.0,1.0,0,/stocks/JBSS/revenue,1.0,yes,yes,69.0,0,INSUFFICIENT_DATA,INSUFFICIENT_DATA,no,no,0.0,0.0,69.0,no,NO_ACTION,NONE,long-tail,none,/stocks/JBSS/revenue=1
mrk next dividend date,MRK,DIVIDEND,high,dividend-history,DIVIDEND,/stocks/MRK/dividend-history,/stocks/MRK/dividend-history,1.0,0.0,1.0,1.0,1.0,0,/stocks/MRK/dividend-history,1.0,yes,yes,69.0,0,INSUFFICIENT_DATA,INSUFFICIENT_DATA,no,no,0.0,0.0,69.0,no,NO_ACTION,NONE,long-tail,none,/stocks/MRK/dividend-history=1
tripadvisor revenue,TRIP,REVENUE,high,revenue,REVENUE,/stocks/TRIP/revenue,/stocks/TRIP/revenue,1.0,0.0,1.0,1.0,1.0,0,/stocks/TRIP/revenue,1.0,yes,yes,69.0,0,INSUFFICIENT_DATA,INSUFFICIENT_DATA,no,no,0.0,0.0,69.0,no,NO_ACTION,NONE,long-tail,none,/stocks/TRIP/revenue=1
entegris revenue,ENTG,REVENUE,high,revenue,REVENUE,/stocks/ENTG/revenue,/stocks/ENTG/revenue,1.0,0.0,1.0,1.0,1.0,0,/stocks/ENTG/revenue,1.0,yes,yes,70.0,0,INSUFFICIENT_DATA,INSUFFICIENT_DATA,no,no,0.0,0.0,70.0,no,NO_ACTION,NONE,long-tail,none,/stocks/ENTG/revenue=1
fortive 2023 annual revenue,FTV,REVENUE,high,revenue,REVENUE,/stocks/FTV/revenue,/stocks/FTV/revenue,1.0,0.0,1.0,1.0,1.0,0,/stocks/FTV/revenue,1.0,yes,yes,70.0,0,INSUFFICIENT_DATA,INSUFFICIENT_DATA,no,no,0.0,0.0,70.0,no,NO_ACTION,NONE,long-tail,none,/stocks/FTV/revenue=1
concentrix revenue,CNXC,REVENUE,high,revenue,REVENUE,/stocks/CNXC/revenue,/stocks/CNXC/revenue,2.0,0.0,2.0,2.0,1.0,0,/stocks/CNXC/revenue,2.0,yes,yes,70.5,0,INSUFFICIENT_DATA,INSUFFICIENT_DATA,no,no,0.0,0.0,70.5,no,NO_ACTION,NONE,long-tail,none,/stocks/CNXC/revenue=2
netflix revenue per year,NFLX,REVENUE,high,revenue,REVENUE,/stocks/NFLX/revenue,/stocks/NFLX/revenue,1.0,0.0,1.0,1.0,1.0,0,/stocks/NFLX/revenue,1.0,yes,yes,71.0,0,INSUFFICIENT_DATA,INSUFFICIENT_DATA,no,no,0.0,0.0,71.0,no,NO_ACTION,NONE,long-tail,none,/stocks/NFLX/revenue=1
rh aero systems revenue,RH,REVENUE,high,revenue,REVENUE,/stocks/RH/revenue,/stocks/RH/revenue,3.0,0.0,3.0,3.0,1.0,0,/stocks/RH/revenue,3.0,yes,yes,71.33333333333333,0,INSUFFICIENT_DATA,INSUFFICIENT_DATA,no,no,0.0,0.0,71.33333333333333,no,NO_ACTION,NONE,long-tail,none,/stocks/RH/revenue=3
net income google,*,NET_INCOME,high,net-income,NET_INCOME,*/net-income,*/net-income,2.0,0.0,2.0,2.0,1.0,1,/stocks/GOOGL/net-income,1.0,yes,yes,72.5,0,INSUFFICIENT_DATA,INSUFFICIENT_DATA,no,no,0.0,0.0,72.5,no,NO_ACTION,NONE,long-tail,none,/stocks/GOOG/net-income=1; /stocks/GOOGL/net-income=1
fortive 2023 revenue,FTV,REVENUE,high,revenue,REVENUE,/stocks/FTV/revenue,/stocks/FTV/revenue,1.0,0.0,1.0,1.0,1.0,0,/stocks/FTV/revenue,1.0,yes,yes,73.0,0,INSUFFICIENT_DATA,INSUFFICIENT_DATA,no,no,0.0,0.0,73.0,no,NO_ACTION,NONE,long-tail,none,/stocks/FTV/revenue=1
revenue of genpact,G,REVENUE,high,revenue,REVENUE,/stocks/G/revenue,/stocks/G/revenue,1.0,0.0,1.0,1.0,1.0,0,/stocks/G/revenue,1.0,yes,yes,73.0,0,INSUFFICIENT_DATA,INSUFFICIENT_DATA,no,no,0.0,0.0,73.0,no,NO_ACTION,NONE,long-tail,none,/stocks/G/revenue=1
wells fargo stock dividend history,WFC,DIVIDEND,high,dividend-history,DIVIDEND,/stocks/WFC/dividend-history,/stocks/WFC/dividend-history,1.0,0.0,1.0,1.0,1.0,0,/stocks/WFC/dividend-history,1.0,yes,yes,73.0,0,INSUFFICIENT_DATA,INSUFFICIENT_DATA,no,no,0.0,0.0,73.0,no,NO_ACTION,NONE,long-tail,none,/stocks/WFC/dividend-history=1
huntington bank stock dividend,HBAN,DIVIDEND,high,dividend-history,DIVIDEND,/stocks/HBAN/dividend-history,/stocks/HBAN/dividend-history,1.0,0.0,1.0,1.0,1.0,0,/stocks/HBAN/dividend-history,1.0,yes,yes,75.0,0,INSUFFICIENT_DATA,INSUFFICIENT_DATA,no,no,0.0,0.0,75.0,no,NO_ACTION,NONE,long-tail,none,/stocks/HBAN/dividend-history=1
verizon revenue,VZ,REVENUE,high,revenue,REVENUE,/stocks/VZ/revenue,/stocks/VZ/revenue,1.0,0.0,1.0,1.0,1.0,0,/stocks/VZ/revenue,1.0,yes,yes,75.0,0,INSUFFICIENT_DATA,INSUFFICIENT_DATA,no,no,0.0,0.0,75.0,no,NO_ACTION,NONE,long-tail,none,/stocks/VZ/revenue=1
wells fargo dividend schedule,WFC,DIVIDEND,high,dividend-history,DIVIDEND,/stocks/WFC/dividend-history,/stocks/WFC/dividend-history,1.0,0.0,1.0,1.0,1.0,0,/stocks/WFC/dividend-history,1.0,yes,yes,76.0,0,INSUFFICIENT_DATA,INSUFFICIENT_DATA,no,no,0.0,0.0,76.0,no,NO_ACTION,NONE,long-tail,none,/stocks/WFC/dividend-history=1
lxp dividend history,LXP,DIVIDEND,high,dividend-history,DIVIDEND,/stocks/LXP/dividend-history,/stocks/LXP/dividend-history,1.0,0.0,1.0,1.0,1.0,0,/stocks/LXP/dividend-history,1.0,yes,yes,79.0,0,INSUFFICIENT_DATA,INSUFFICIENT_DATA,no,no,0.0,0.0,79.0,no,NO_ACTION,NONE,long-tail,none,/stocks/LXP/dividend-history=1
wfc ex dividend date,WFC,DIVIDEND,high,dividend-history,DIVIDEND,/stocks/WFC/dividend-history,/stocks/WFC/dividend-history,1.0,0.0,1.0,1.0,1.0,0,/stocks/WFC/dividend-history,1.0,yes,yes,79.0,0,INSUFFICIENT_DATA,INSUFFICIENT_DATA,no,no,0.0,0.0,79.0,no,NO_ACTION,NONE,long-tail,none,/stocks/WFC/dividend-history=1
wellsfargo dividend,WFC,DIVIDEND,high,dividend-history,DIVIDEND,/stocks/WFC/dividend-history,/stocks/WFC/dividend-history,1.0,0.0,1.0,1.0,1.0,0,/stocks/WFC/dividend-history,1.0,yes,yes,80.0,0,INSUFFICIENT_DATA,INSUFFICIENT_DATA,no,no,0.0,0.0,80.0,no,NO_ACTION,NONE,long-tail,none,/stocks/WFC/dividend-history=1
wfc dividends,WFC,DIVIDEND,high,dividend-history,DIVIDEND,/stocks/WFC/dividend-history,/stocks/WFC/dividend-history,1.0,0.0,1.0,1.0,1.0,0,/stocks/WFC/dividend-history,1.0,yes,yes,80.0,0,INSUFFICIENT_DATA,INSUFFICIENT_DATA,no,no,0.0,0.0,80.0,no,NO_ACTION,NONE,long-tail,none,/stocks/WFC/dividend-history=1
verizon revenue 2023,VZ,REVENUE,high,revenue,REVENUE,/stocks/VZ/revenue,/stocks/VZ/revenue,1.0,0.0,1.0,1.0,1.0,0,/stocks/VZ/revenue,1.0,yes,yes,81.0,0,INSUFFICIENT_DATA,INSUFFICIENT_DATA,no,no,0.0,0.0,81.0,no,NO_ACTION,NONE,long-tail,none,/stocks/VZ/revenue=1
wf dividend,WFC,DIVIDEND,high,dividend-history,DIVIDEND,/stocks/WFC/dividend-history,/stocks/WFC/dividend-history,1.0,0.0,1.0,1.0,1.0,0,/stocks/WFC/dividend-history,1.0,yes,yes,81.0,0,INSUFFICIENT_DATA,INSUFFICIENT_DATA,no,no,0.0,0.0,81.0,no,NO_ACTION,NONE,long-tail,none,/stocks/WFC/dividend-history=1
wfc ex dividend,WFC,DIVIDEND,high,dividend-history,DIVIDEND,/stocks/WFC/dividend-history,/stocks/WFC/dividend-history,1.0,0.0,1.0,1.0,1.0,0,/stocks/WFC/dividend-history,1.0,yes,yes,81.0,0,INSUFFICIENT_DATA,INSUFFICIENT_DATA,no,no,0.0,0.0,81.0,no,NO_ACTION,NONE,long-tail,none,/stocks/WFC/dividend-history=1
wfc dividend,WFC,DIVIDEND,high,dividend-history,DIVIDEND,/stocks/WFC/dividend-history,/stocks/WFC/dividend-history,3.0,0.0,3.0,3.0,1.0,0,/stocks/WFC/dividend-history,3.0,yes,yes,81.33333333333333,0,INSUFFICIENT_DATA,INSUFFICIENT_DATA,no,no,0.0,0.0,81.33333333333333,no,NO_ACTION,NONE,long-tail,none,/stocks/WFC/dividend-history=3
verizon wireless annual revenue,VZ,REVENUE,high,revenue,REVENUE,/stocks/VZ/revenue,/stocks/VZ/revenue,1.0,0.0,1.0,1.0,1.0,0,/stocks/VZ/revenue,1.0,yes,yes,82.0,0,INSUFFICIENT_DATA,INSUFFICIENT_DATA,no,no,0.0,0.0,82.0,no,NO_ACTION,NONE,long-tail,none,/stocks/VZ/revenue=1
welltower dividend,WELL,DIVIDEND,high,dividend-history,DIVIDEND,/stocks/WELL/dividend-history,/stocks/WELL/dividend-history,1.0,0.0,1.0,1.0,1.0,0,/stocks/WELL/dividend-history,1.0,yes,yes,83.0,0,INSUFFICIENT_DATA,INSUFFICIENT_DATA,no,no,0.0,0.0,83.0,no,NO_ACTION,NONE,long-tail,none,/stocks/WELL/dividend-history=1
disney s dividend history,DIS,DIVIDEND,high,dividend-history,DIVIDEND,/stocks/DIS/dividend-history,/stocks/DIS/dividend-history,5.0,0.0,5.0,5.0,1.0,0,/stocks/DIS/dividend-history,5.0,yes,yes,84.4,0,INSUFFICIENT_DATA,INSUFFICIENT_DATA,no,no,0.0,0.0,84.4,no,NO_ACTION,NONE,long-tail,none,/stocks/DIS/dividend-history=5
wells fargo dividends,WFC,DIVIDEND,high,dividend-history,DIVIDEND,/stocks/WFC/dividend-history,/stocks/WFC/dividend-history,1.0,0.0,1.0,1.0,1.0,0,/stocks/WFC/dividend-history,1.0,yes,yes,85.0,0,INSUFFICIENT_DATA,INSUFFICIENT_DATA,no,no,0.0,0.0,85.0,no,NO_ACTION,NONE,long-tail,none,/stocks/WFC/dividend-history=1
wfc dividend date,WFC,DIVIDEND,high,dividend-history,DIVIDEND,/stocks/WFC/dividend-history,/stocks/WFC/dividend-history,2.0,0.0,2.0,2.0,1.0,0,/stocks/WFC/dividend-history,2.0,yes,yes,85.5,0,INSUFFICIENT_DATA,INSUFFICIENT_DATA,no,no,0.0,0.0,85.5,no,NO_ACTION,NONE,long-tail,none,/stocks/WFC/dividend-history=2
wells fargo dividend date,WFC,DIVIDEND,high,dividend-history,DIVIDEND,/stocks/WFC/dividend-history,/stocks/WFC/dividend-history,1.0,0.0,1.0,1.0,1.0,0,/stocks/WFC/dividend-history,1.0,yes,yes,86.0,0,INSUFFICIENT_DATA,INSUFFICIENT_DATA,no,no,0.0,0.0,86.0,no,NO_ACTION,NONE,long-tail,none,/stocks/WFC/dividend-history=1
nyse dlr dividend,DLR,DIVIDEND,high,dividend-history,DIVIDEND,/stocks/DLR/dividend-history,/stocks/DLR/dividend-history,1.0,0.0,1.0,1.0,1.0,0,/stocks/DLR/dividend-history,1.0,yes,yes,88.0,0,INSUFFICIENT_DATA,INSUFFICIENT_DATA,no,no,0.0,0.0,88.0,no,NO_ACTION,NONE,long-tail,none,/stocks/DLR/dividend-history=1
wells fargo dividend pay date,WFC,DIVIDEND,high,dividend-history,DIVIDEND,/stocks/WFC/dividend-history,/stocks/WFC/dividend-history,1.0,0.0,1.0,1.0,1.0,0,/stocks/WFC/dividend-history,1.0,yes,yes,88.0,0,INSUFFICIENT_DATA,INSUFFICIENT_DATA,no,no,0.0,0.0,88.0,no,NO_ACTION,NONE,long-tail,none,/stocks/WFC/dividend-history=1
